URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/taxonomy/term/477,404,,6/13/11,Not found,Desktop,6/8/16
http://trip.ee/taxonomy/term/66,404,,6/28/11,Not found,Desktop,5/26/16
http://trip.ee/taxonomy/term/25,404,,6/3/11,Not found,Desktop,6/6/16
http://trip.ee/taxonomy/term/183,404,,6/28/11,Not found,Desktop,6/5/16
http://trip.ee/taxonomy/term/27,404,,6/1/11,Not found,Desktop,4/29/16
http://trip.ee/taxonomy/term/135,404,,6/7/11,Not found,Desktop,5/14/16
http://trip.ee/node/taxonomy/term/575,404,,4/21/16,Not found,Desktop,4/21/16
http://trip.ee/drupal47_trip/www.hotels.hu,404,,3/8/11,Not found,Desktop,5/30/16
http://trip.ee/taxonomy/term/474,404,,9/1/11,Not found,Desktop,5/27/16
http://trip.ee/taxonomy/term/282,404,,6/13/11,Not found,Desktop,6/12/16
http://trip.ee/taxonomy/term/70,404,,6/19/11,Not found,Desktop,5/27/16
http://trip.ee/taxonomy/term/299,404,,6/18/11,Not found,Desktop,6/11/16
http://trip.ee/drupal47_trip/www.travelguide.cz,404,,3/2/11,Not found,Desktop,4/24/16
http://trip.ee/drupal47_trip/www.travelguide.sk,404,,3/2/11,Not found,Desktop,4/24/16
http://trip.ee/content/taxonomy/term/386,404,,10/18/13,Not found,Desktop,5/6/16
http://trip.ee/taxonomy/term/476,404,,6/25/11,Not found,Desktop,4/22/16
http://trip.ee/taxonomy/term/107,404,,5/31/11,Not found,Desktop,5/8/16
http://trip.ee/taxonomy/term/594,404,,6/13/11,Not found,Desktop,6/10/16
http://trip.ee/trip_destination/tid/322,404,,6/19/11,Not found,Desktop,6/28/16
http://trip.ee/taxonomy/term/79,404,,6/8/11,Not found,Desktop,5/7/16
http://trip.ee/taxonomy/term/841,404,,6/29/11,Not found,Desktop,5/26/16
http://trip.ee/taxonomy/term/211,404,,6/3/11,Not found,Desktop,6/3/16
http://trip.ee/taxonomy/term/194,404,,6/17/11,Not found,Desktop,6/3/16
http://trip.ee/taxonomy/term/13,404,,6/25/11,Not found,Desktop,5/27/16
http://trip.ee/taxonomy/term/196,404,,6/19/11,Not found,Desktop,5/26/16
http://trip.ee/taxonomy/term/68,404,,6/15/11,Not found,Desktop,6/11/16
http://trip.ee/taxonomy/term/177,404,,6/15/11,Not found,Desktop,5/30/16
http://trip.ee/taxonomy/term/347,404,,7/18/11,Not found,Desktop,6/6/16
